date,no tickets sol,sell_amt,purchase_amt,Ratio,no tickets sol * Ratio,norm_ratio,norm_ratio_cum_sum,norm_ratio*1000,no tickets sol_cumsum,actual_cumsum_ratio
2021-11-17,2,222.12,222.12,1.0,2.0,1.3625147361572913e-05,0.014465108518410883,0.013625147361572913,2953,0.020079556658620337
2021-11-18,2,222.12,222.12,1.0,2.0,1.3625147361572913e-05,0.014478733665772455,0.013625147361572913,2955,0.020093156087444327
2021-11-19,525,54.22622857142857,102.14157714666668,0.5308928066928542,278.71872351374844,0.0018987918401521598,0.016377525505924615,1.8987918401521597,3480,0.023663006153741544
2021-11-20,105,61.3,96.75551428571428,0.6335556216360352,66.5233402717837,0.00045319515709355533,0.016830720663018172,0.45319515709355535,3585,0.024376976167000988
2021-11-21,251,57.26426294820717,102.17185392430278,0.5604700389466671,140.67797977561347,0.0009583791024855537,0.017789099765503726,0.9583791024855537,3836,0.026083704484411656
2021-11-22,2,215.34,215.34,1.0,2.0,1.3625147361572913e-05,0.0178027249128653,0.013625147361572913,3838,0.026097303913235646
2021-11-24,334,56.51,105.93527794610777,0.5334389175695391,178.16859846822607,0.001213786704667247,0.019016511617532546,1.213786704667247,4172,0.028368408526841873
2021-11-25,217,61.75096774193548,102.32436329032258,0.6034825505508485,130.95571346953415,0.0008921454469311607,0.019908657064463705,0.8921454469311607,4389,0.029843946554244723
2021-11-26,78,54.8,87.56616238461538,0.6258125114505176,48.813375893140375,0.00033254471987994417,0.02024120178434365,0.33254471987994416,4467,0.03037432427838031
2021-11-28,2,226.64,223.825,1.012576789902826,2.025153579805652,1.3796507977334458e-05,0.020254998292320983,0.013796507977334458,4469,0.030387923707204296
2021-11-29,36,53.78,76.40305555555557,0.7038985497235057,25.340347790046206,0.00017263298641644403,0.020427631278737427,0.17263298641644403,4505,0.030632713426036108
2021-12-01,73,53.31,81.71292236986301,0.6524059898225052,47.62563725704288,0.0003244531629080132,0.02075208444164544,0.3244531629080132,4578,0.03112909257811172
2021-12-02,8,254.14,254.14,1.0,8.0,5.450058944629165e-05,0.020806585031091732,0.05450058944629165,4586,0.031183490293407678
2021-12-03,273,106.28992673992673,108.17629792673993,0.9825620656006299,268.23944390897196,0.0018274009757230573,0.02263398600681479,1.8274009757230574,4859,0.03303981232788223
2021-12-04,5,262.0,239.06799999999998,1.0959224990379306,5.479612495189653,3.7330263865637636e-05,0.022671316270680426,0.03733026386563763,4864,0.0330738108999422
2021-12-06,136,68.79882352941176,103.96310048529412,0.6617619444616656,89.99962444678653,0.0006131290727868432,0.02328444534346727,0.6131290727868431,5000,0.03399857205997348
2021-12-08,189,148.86269841269842,120.40970723280424,1.236301472977442,233.66097839273652,0.0015918326316251698,0.02487627797509244,1.5918326316251699,5189,0.03528371808384048
2021-12-09,399,54.71714285714285,113.99552798746866,0.47999376662528215,191.51751288348757,0.0013047271676797285,0.02618100514277217,1.3047271676797285,5588,0.03799680413422636
2021-12-10,181,66.1724861878453,116.68648987292818,0.567096381594024,102.64444506851834,0.0006992728449527191,0.02688027798772489,0.6992728449527191,5769,0.0392275524427974
2021-12-11,326,119.83972392638037,107.79453732208589,1.1117420873406965,362.42792047306705,0.0024690669121969835,0.029349344899921873,2.4690669121969835,6095,0.041444259341107674
2021-12-13,78,54.52,87.56616238461538,0.6226149292752231,48.5639644834674,0.00033084558627471825,0.029680190486196592,0.3308455862747183,6173,0.04197463706524326
