date,no tickets sol,sell_amt,purchase_amt,Ratio,no tickets sol * Ratio,norm_ratio,norm_ratio_cum_sum,norm_ratio*1000,no tickets sol_cumsum,actual_cumsum_ratio,DTE
2022-04-20,19,59.54105263157894,58.44052631578947,1.0188315606509541,19.35779965236813,0.07211914877422147,0.07211914877422147,72.11914877422147,19,0.06985294117647059,-16 days
2022-04-21,10,63.65899999999999,51.652,1.2324595369007976,12.324595369007977,0.04591634085286296,0.11803548962708443,45.91634085286296,29,0.10661764705882353,-15 days
2022-04-22,8,60.89,49.8575,1.2212806498520783,9.770245198816626,0.03639988943515487,0.1544353790622393,36.39988943515487,37,0.13602941176470587,-14 days
2022-04-23,9,58.919999999999995,51.95111111111111,1.1341432115664298,10.207288904097869,0.03802813337651414,0.19246351243875345,38.02813337651414,46,0.16911764705882354,-13 days
2022-04-24,13,60.58846153846154,49.74692307692308,1.2179338497935703,15.833140047316414,0.058987726040227194,0.25145123847898065,58.987726040227194,59,0.21691176470588236,-12 days
2022-04-25,4,60.89,44.92,1.355520926090828,5.422083704363312,0.020200439531536444,0.2716516780105171,20.200439531536443,63,0.23161764705882354,-11 days
2022-04-26,4,48.92,51.160000000000004,0.9562157935887412,3.824863174354965,0.01424985697062947,0.28590153498114657,14.24985697062947,67,0.24632352941176472,-10 days
2022-04-27,17,50.300000000000004,51.48117647058823,0.977056148449462,16.609954523640855,0.06188181523394182,0.3477833502150884,61.881815233941815,84,0.3088235294117647,-9 days
2022-04-28,2,42.68,42.68,1.0,2.0,0.007451172144495131,0.3552345223595835,7.451172144495131,86,0.3161764705882353,-8 days
2022-04-29,28,32.09214285714286,45.300000000000004,0.7084358246609902,19.836203090507727,0.0739014819602697,0.4291360043198532,73.9014819602697,114,0.41911764705882354,-7 days
2022-04-30,32,34.8656250625,39.643020875,0.8794896123692543,28.143667595816137,0.10485165601693773,0.5339876603367909,104.85165601693772,146,0.5367647058823529,-6 days
2022-05-01,44,37.3425,45.461212136363635,0.8214145255957745,36.14223912621408,0.13465102270846419,0.6686386830452551,134.65102270846418,190,0.6985294117647058,-5 days
2022-05-02,22,52.60136363636364,52.01545454545454,1.0112641347851163,22.24781096527256,0.08288613467021612,0.7515248177154712,82.88613467021612,212,0.7794117647058824,-4 days
2022-05-03,36,50.22555555555556,47.45472222222222,1.058388990675322,38.102003664311596,0.141952294176485,0.8934771118919562,141.952294176485,248,0.9117647058823529,-3 days
2022-05-04,17,58.64176470588235,54.04941176470588,1.0849658264768622,18.444419050106656,0.06871627072377504,0.9621933826157313,68.71627072377504,265,0.9742647058823529,-2 days
2022-05-05,3,131.57,74.08,1.7760529157667386,5.328158747300216,0.01985051401966572,0.982043896635397,19.85051401966572,268,0.9852941176470589,-1 days
2022-05-06,4,72.03,59.78,1.2049180327868851,4.819672131147541,0.01795610336460302,1.0,17.95610336460302,272,1.0,0 days
